carid,clientid,Марка,Модель,Год_выпуска,vin
335,14,Volkswagen,Astra,1991,VE4ZU2CL10SRSDUAN
336,402,Plymouth,Mazda3,2023,58PU09RM6CF119WR4
337,991,Jaguar,Forte,1984,LCAZB4GN1HLNK6J5X
338,389,Buick,488 GTB,1986,ERWJ9M4X543AFFV9C
339,295,BMW,Golf,1976,HCFPTU7W2TF1J989R
340,848,Dodge,720S,1991,A6ZEA2ZM8YVH1449X
341,925,Kia,A4,1970,5H9FYTCF7DRDMGCDR
342,456,Mercedes-Benz,Octavia,2010,VWPWJHGT73WLEPK1H
343,230,Mahindra,Lanos,2011,2US70E1J1AYJ8XZ6R
344,184,Dodge,Forte,2017,SCP20DW724SLH5JP0
345,428,Mitsubishi,Q50,1973,AZ3NF7LT1BBM9T154
346,815,Peugeot,A4,2015,CHMGF7P2XXRKCJP6G
347,387,MG,Regera,2023,VL3CKCS91ZJKVFJKM
348,662,Chrysler,3 Series,1991,VCKD8ABC0NU8HGF87
349,229,SEAT,Challenger,1985,X4SW2P4U7HWYBEJY7
350,204,Bugatti,Sierra,1975,H6YT4P2G1XL9S7HMD
351,311,HSV,Cooper,2009,L5E7TKNU2MGNS20ZD
352,430,Buick,Barracuda,1971,Y1SMC1BN0781UBC28
353,675,Plymouth,Rexton,1981,WNF49TA0198GXWHE4
354,719,Volvo,Altima,1995,VYH18XXE11NVT8XAJ
355,965,Lamborghini,Copen,1984,VZGMZ9WN0NVADS9ZY
356,207,Daihatsu,H6,1992,Y180N5P43NK0TH33R
357,21,Land Rover,Emgrand 7,1986,44HTNKN7674UC3UEM
358,545,Saturn,Lancer,1984,DLATKGKPXYMW4D7LA
359,837,Volvo,Cooper,1974,G9H6VTMZ32CP8KEAJ
360,793,Porsche,Huayra,1975,616GBWWC7R5YTAN3J
361,419,Peugeot,G70,1974,WWKCDVER60G58NW05
362,814,GMC,Impreza,1990,439XW2816L5AZX79D
363,890,Dodge,Barracuda,1974,0C4BPZ881MMX42YLN
364,414,Subaru,Evija,1982,J89MRVAW3NBWXB6ZM
365,417,Mitsubishi,3 Series,1981,K5Z3EJPP88U791ZW5
366,260,Toyota,XC60,2014,7PBCEK182DLBTRVCX
367,60,Changan,Regera,1990,5PJ9BC6M02R9JRNGD
368,817,MG,C4,1984,KFZV9DJK8CMM36NFA
369,849,Oldsmobile,ZS,1971,VY8PYNL32TD2J9HXX
370,406,Smart,Levante,1994,LSV7F73A3FURRV7R9
371,219,Hyundai,Rexton,1979,JYRHTJNG2XP93WCSR
372,950,Peugeot,Cutlass,1978,4UPJYT4L3A7GD6CRL
373,60,Skoda,Lancer,2002,C3D524RX3X52Y0VZR
374,204,Infiniti,208,1988,KUMHF0SJ9K65GWC8T
375,891,Fiat,Lanos,1995,PWJ0950R93ENKSLW3
376,434,Hummer,Continental GT,2017,V3YCJ3XG6UUGRMK1W
377,321,Mitsubishi,Wrangler,1990,RF6XKV33X7UH6J5TR
378,907,Cadillac,Q50,1970,D3U8TS3J9R593LJ59
379,649,Daewoo,Cooper,2022,GN0VXJRX9317Z8ZNR
380,962,HSV,Clio,1973,KU8F9BAX5ZG5SLA8B
381,389,Pontiac,Impreza,1994,86FLKP5Y89BSXTP6J
382,84,Alfa Romeo,CS35,1984,954ZMEXH5VV17JBSJ
383,450,Honda,Firebird,1980,30UU1U5K2AUD7LGVY
384,984,Tata,Wrangler,1986,DSWSGURD3TWKY4D38
385,758,GMC,488 GTB,1986,1DUPP37U8U2A00BMR
386,166,Daewoo,Altima,2013,08S6LMD718GFJX9GL
387,377,Isuzu,Forte,1988,TKL069MNXCE393W4S
388,960,Porsche,Firebird,2000,EWW871VP0YALNVA7W
389,261,Citroën,C-Class,1993,HN1P5U81XPXE9BH4W
390,469,Mazda,1500,1976,4RGW9VNA5GD305VKR
391,1,Hummer,Phantom,1981,WF27FPCJ6TDVEYEYR
392,431,Chrysler,488 GTB,2004,UVRUECWS4PF7WYF9N
393,43,Buick,Impreza,1999,C972WKXA3VA7HRWZS
394,885,Jeep,Lanos,1999,HHUZ333WX0ZX3FAW8
395,823,MG,Swift,2019,RTCGY4487THANXDKT
396,13,Land Rover,Huracán,2023,6EPRPVJN3FUGAG4YL
397,501,Isuzu,Forte,1991,BZWM8BFE6HX7M22XS
398,582,Ferrari,Rexton,2008,YN62ULAD330VN22JM
399,206,Koenigsegg,D-Max,2014,XDU1HF0D5F3T5HM46
400,413,Hummer,ZS,1983,R3UZKD002MW7CSV9D
401,861,Dacia,TLX,1985,BT895XJM6F643L7SG
402,640,Fiat,3 Series,1973,CF7LXYFK1P864KALR
403,88,Buick,XC60,2007,2Z1KN7KD76FBHRT7P
404,674,SEAT,D-Max,1991,3N1MCHXR2PMUUREPL
405,677,MG,Challenger,1970,83A6MTLY4JHTSELKM
406,703,Plymouth,Rexton,1975,YL013BAS8MGUSLY7M
407,236,Saab,Camaro,1973,YPHN7JJK75VTBMUNT
408,716,Suzuki,Firebird,1972,00WYA0PV2K3J5NP85
409,428,Lotus,3 Series,1993,99BJYHGP56Z5G6UUA
410,236,Ram,D-Max,2019,6XBJU374XS133Y7TY
411,327,Great Wall,Wrangler,2013,N8C4PJ3G7M6B8YCL5
412,767,Oldsmobile,Altima,2022,C7C4RKKY9VUBP70BY
413,55,Chevrolet,ZS,1997,VFZ7M5PF9BHUGHT0J
414,565,Hyundai,Emgrand 7,1970,EUYUZ3UJ7S14CWGW6
415,907,Lotus,DB11,2021,UMSNP4NE8A9EZMNYT
416,983,MG,Astra,2001,B8AJRJLY702HXCUC4
417,425,Tesla,Lanos,1985,XVU4A7N869L0G5YEV
418,668,Cadillac,tC,1975,X23AWA3H6DW13PNHM
419,719,Pontiac,1500,1983,8DLUHZ451KWXAHSEV
420,68,Land Rover,Astra,2007,XWKUTMY98X1RTHSFX
421,979,Pontiac,Clio,2008,NM1BP2YU8W1JXJUJ9
422,510,Pontiac,Qin,2020,7G9PGAMS7T950U1EN
423,599,BMW,D-Max,1989,03G8531E48EYCR3X9
424,772,Mitsubishi,XUV500,1984,ASRH7VD15DSN741K5
425,752,Ford,Navigator,2020,C88YHU1V4U3K3T8CE
426,25,Mahindra,Camaro,1976,5AK6CTDK0DC6GJJEA
427,761,Opel,Lanos,2023,PCPAC4NF6JS4ALULM
428,167,Ram,Evija,1991,0PAYYNY01CFYPV8AL
429,653,Daewoo,CS35,2001,Y3AJ8E083U2X13VG1
430,448,Volkswagen,Forte,1996,SUB17YZ417UFTJMW5
431,634,GMC,Maloo,1974,6PD4HB634MFK8DYFR
432,221,Mazda,Cutlass,1988,43LJ13N36C3M54G5A
433,118,Buick,ZS,1994,3J7A2NED27FP148V7
434,520,Volkswagen,Corolla,2015,G14UM6A58K9AJ35UC
435,338,Alfa Romeo,Ypsilon,2010,GZU4TSUG02T44M1VB
436,565,Fiat,D-Max,1993,KD61KGP573GKFEZ58
437,451,SsangYong,3 Series,1971,XJ6J2VEC4L8DU953Y
438,758,Smart,Golf,2021,5L8JZGJK4PCSRM31T
439,975,Ferrari,Huayra,2023,SFSUZMWS78HV0DVRL
440,960,Infiniti,G70,1978,S3XEKBHA0DWXXFBEJ
441,932,Aston Martin,500,1986,M4FTCA9E84ZWT7D32
442,989,Lamborghini,Altima,2015,LUUERMYT34NZAXJV8
443,653,Mini,Octavia,1989,ZWYF4GUU7WG7V8E1T
444,638,Kia,3 Series,2023,R9BWDH6Z7RMRNU7VJ
445,650,GMC,Mazda3,2014,GNEVFKEX4Z5XEP10K
446,505,Plymouth,Impreza,1971,RTHRNABKXEHD5ZSK1
447,490,Bugatti,Wrangler,1992,8GCG4RC99JB8ZG1DA
448,775,Smart,Forte,2019,1WJLF2544PA9REVEF
449,920,Ford,TLX,2016,C3TK13ND3WSJAJXU7
450,868,Tata,Lancer,1990,UFKPKCY119GM12PXX
451,435,Mitsubishi,C-Class,1991,X05187T231HAEW26U
452,208,Rolls-Royce,Camaro,1978,TEG0D7FM9NL4G68TY
453,70,Skoda,Enclave,2019,PXFEZNX81UWME8DV8
454,953,Great Wall,Astra,1988,9526RH662T7PYJFXU
455,192,Audi,Continental GT,2023,GC3JF6KP9E9UJR9SC
456,714,Opel,TLX,1991,P20M2EJJ1JL84BTAA
457,88,Jeep,500,1994,R52CASFA3LHK7M3YD
458,455,Great Wall,Wrangler,2001,0LTRCE3G2MUL95AAX
459,684,Kia,Regera,2012,83YNPL3K0S4A35YA9
460,388,Suzuki,Firebird,1982,6CJBP45LXBDD3Y53V
461,914,Nissan,9-3,1992,DE7TZDFC1G14KXGD4
462,97,Mahindra,500,1975,ATH2RL3K83U29FKM7
463,617,Smart,Model 3,1983,K1LDN4H9350LJL7RX
464,703,Jeep,Escalade,2006,U3PTCU1Y4GM7CXDJF
465,666,BYD,500,2015,WYA603D86L3H93FEH
466,416,HSV,Mustang,1975,5KSWSAAV7531B028P
467,690,Nissan,Ypsilon,2003,89062A2M250XX0CTR
468,972,McLaren,tC,1979,D48DF3PD1S14SFZL4
469,913,BYD,Maloo,1995,X7J8122W89VE1CDK1
470,516,Subaru,Impreza,1984,5A3TXMSVXSXU7NGWC
471,902,Isuzu,Astra,1997,2TFW173175V883AKW
472,516,BYD,Sierra,2015,75V7HPSD2F2FE6TE6
473,46,Holden,Nexon,2002,P4GY43V24YA8XH0KN
474,394,Scion,G70,2013,RS10AG2N9RRNEFREF
475,998,Land Rover,Maloo,2019,NLLEHFCC3UXRC9U5S
476,852,Jaguar,H2,2018,C4TTLSVA0R4R8B5R7
477,796,Opel,Wrangler,2008,MRMYEAJP7832JEUY6
478,249,Volvo,Q50,2009,DLMJ1WUB8XJLW1BSB
479,366,Volkswagen,Commodore,2014,LU7AZLW6XXB380CZ7
480,738,Buick,Q50,1982,WYGVZ3MN7AC2PGBRG
481,921,Honda,Swift,1980,SHDRY08K7T57JNG5K
482,395,Toyota,Chiron,1973,KUPPUWYK0XYW7FVCW
483,627,Isuzu,Octavia,2004,H7VXJZMNX9434NG08
484,759,McLaren,Clio,2012,YJMMJUBEXBV0NU3M6
485,243,Mercedes-Benz,Q50,2023,LSMECCF42DN4VF5ZY
486,705,Daihatsu,Mustang,1971,ZYT8S2C98JV6LLK6J
487,365,Changan,Huracán,2000,SZUJMXP37K7W6W4GT
488,896,Volvo,C-Class,2011,3RU9JAWK7Z3BVR8FM
489,613,Maserati,TLX,1997,4N6188GS4738TGJ4W
490,690,Oldsmobile,Mazda3,2002,13EGZU3R4YCFTRFXS
491,126,Bugatti,Copen,1980,KS2W6DV02Y8ZZ3JH3
492,60,Skoda,488 GTB,1986,KYPP0Y5W8XLYPPZLL
493,167,Lincoln,H2,1981,L97P7M248SH0JTMU7
494,493,Subaru,Navigator,2016,UFMRYPTX2TN698Y8E
495,880,Lotus,tC,1981,D8U86RM00F0VTWM98
496,495,Jeep,Enclave,2018,YA3FES0B5P54WYK2B
497,820,Land Rover,Forte,2017,RYT7SDEWXZXFD161V
498,984,BMW,Civic,1985,N4732FSB5PEG4C8G2
499,720,MG,Model 3,1989,JC8LCKR05LP7BUVL7
500,889,Land Rover,Altima,1992,DE6P3HS96X464MSJD
501,21,Lexus,Astra,2000,DY21C73X2EN1U631W
502,613,Scion,Sierra,1998,7YAD8J0239JBTSK37
503,952,Mitsubishi,Civic,1994,NKNKZ4T45BDWW5S1H
504,436,Lotus,Emgrand 7,1970,AD0XMHFK3KRWRJ38R
505,934,SEAT,Maloo,2014,BR197R494VGG988EA
506,74,Volkswagen,9-3,1972,CPN7PZPW7K3HMEMTU
507,103,Nissan,500,2002,5XC41YBG3WT4MF9MT
508,681,Acura,Firebird,2003,YSBL5C037V287G3VR
509,573,Saab,Civic,1975,DT2B7XW7XV2VLXLL4
510,968,Acura,Golf,1999,47RKSKFU8FG71BHUR
511,468,Skoda,Elantra,2003,YMLTCE9F6N4VFB4S7
512,623,Genesis,Continental GT,1983,BY8WLY124LDTW93RG
513,605,Holden,tC,1999,8F32PAGG6WWPY23AC
514,402,Peugeot,XC60,2014,H7YH4B5X8WJ4M80TB
515,746,Isuzu,Qin,1995,WYRBLKFD3HT7STZ97
516,16,Skoda,Giulia,1982,8S96GPF8X1C3B54ML
517,394,Maserati,Ibiza,1988,32F4JLPA8AB93ZJES
518,978,Hyundai,300,1980,R9ETM1MFX3BRKR93M
519,779,Pagani,Corolla,1990,YB2P1HWF553GNP2EP
520,158,McLaren,300,1988,C31SE9V17D0GFL6HG
521,16,Isuzu,Mustang,2019,SHJN4J215M87339M1
522,58,Ford,Clio,1990,USGRRDVS45K76UG0L
523,835,Tesla,Cooper,1985,X06889TU7JJSNF4DP
524,23,Mini,ForTwo,2004,9WFJ6T1K2X3Z1P6LM
525,991,Tesla,Challenger,1995,09WZHX4S6HRFDWLG7
526,88,Lancia,Impreza,2018,HS4M190Y4MTK14F84
527,212,Buick,Phantom,2019,4HUBMTTH0H4LJ8C1N
528,192,Mercedes-Benz,Ibiza,2009,XP4FWSH94D05RS0MJ
529,244,Jeep,720S,1991,309Y492A60398NPTD
530,285,Saab,C4,1985,UWBM903A6NUNSKDAG
531,330,Saab,Phantom,2017,LVUBSSN67ZCGDR13W
532,510,Oldsmobile,Range Rover,2003,V87KKL8V3E78830SD
533,368,Cadillac,Range Rover,1972,BNP2VNXE2AP8X309J
534,44,Lancia,Evija,1985,3HPF466G355EKLMHN
535,841,Lincoln,G70,1990,36RMXCLC7MDAFWMAM
536,256,Toyota,Mustang,1999,S6VPHDVU9DCB3UFRG
537,190,BMW,Ypsilon,2018,E7WTPA8T3AWSPL3Y9
538,817,Mercedes-Benz,Emgrand 7,2011,AXLABE777RCHZ4RSY
539,29,HSV,TLX,2003,KTVRW1GX3LE8D5CK4
540,138,Pontiac,Continental GT,1973,Y0ZDH1KS687U00Y6N
541,331,Opel,Enclave,2023,5ZH1TBYF6JYRZES65
542,680,Ram,Continental GT,2015,FSVV0M7FXPN9N87GL
543,151,Geely,1500,2006,V3RTBJ7B509N18WPC
544,117,Alfa Romeo,Corolla,1991,XMZBR3B960D9056G8
545,524,Hyundai,Maloo,2005,5EG3PRL73MZ8TB8WS
546,266,Porsche,F-PACE,1970,BJAC0YXE6SVWHRTYD
547,693,Tesla,Astra,2022,THPX2CWE10W2JVPY8
548,941,Changan,Huracán,2019,R3G14U0W20MREYAD0
549,954,Nissan,XUV500,2003,U02Y947D5ZG0XJ06J
550,999,Bentley,Rexton,1994,F73WDJT74DXJ3HF6Y
551,330,Toyota,Huayra,1984,FTJW33543EVKHB2TH
552,581,Audi,Qin,1997,2MCWC9J90YG1DJNLJ
553,642,Cadillac,Q50,1991,EX79U2UA1MMMJ2CBR
554,436,Opel,Altima,2018,41P2C54415742TR9F
555,712,Volvo,Camaro,1980,2KD17VNZ2K14AUWN0
556,247,Great Wall,G70,2019,K2NSGJVAXA5PZM3TB
557,511,Tata,Mazda3,1970,2MVE2NUN6HCGXHAK9
558,481,GMC,Forte,1996,LXNZU4211LZP33MF7
559,928,Ford,9-3,1976,WULYDBPF840VYJA9U
560,616,Peugeot,TLX,1982,YU0V9C6Z0ACNP3P7J
561,550,Lotus,Q50,2009,4ZEU0BXN0C50912VV
562,57,Peugeot,Lancer,2005,L632Z3969YFDR2DTC
563,901,Pagani,Mustang,2015,YRH0NKC97VAVT6RJD
564,833,Volvo,Navigator,1995,E800L2XY9HXGXZTFA
565,624,Buick,Ibiza,2002,MVK1T9RK6LUB6BYC2
566,73,Mitsubishi,Elantra,1999,AJAZXND71ATKUVXEY
567,767,Tata,Clio,1983,UFFUZ0GM5UM7EUGVB
568,928,Land Rover,H6,2017,8ZYUD3C17JESR6D4X
569,990,Lamborghini,DB11,2013,1VJZU7ZZXSHG942C0
570,127,Tesla,Mazda3,2021,4NCSLZ1RXE1H7CGMZ
571,371,Honda,C-Class,2006,WCSGV1HU9YTMH0UUE
572,627,Genesis,Navigator,1980,8NCGMKDR6558U720E
573,738,Volvo,TLX,2015,USCGPF50X70XWD77W
574,10,Geely,Escalade,2004,U8CJFRU83Z7PS2S6P
575,914,Koenigsegg,3 Series,1994,R2G100TW8P0GL3L9N
576,849,Lotus,Firebird,1975,NSEKHPE7X6DSPCF58
577,911,Mercedes-Benz,DB11,1981,ZBK21DDY4MPLLNYSH
578,450,Lancia,Elantra,1979,Y230LG4323MJ2EMGP
579,352,Jeep,Navigator,2020,EBGLJSF14750L2S18
580,372,Porsche,Octavia,2023,1V9LAGXB3BD8RVMXC
581,835,Peugeot,Phantom,2004,RE468Z4S8ZCC4MPAE
582,999,Lamborghini,911,2020,B9FXGRUF9EETYGNAU
583,785,GMC,Vue,1978,40HC1T3C0PKSPK9N6
584,524,Infiniti,Levante,2020,6KWCM35H425UUZ63L
585,484,Koenigsegg,Lanos,1990,3U3DGFDE2TKLPP6Y2
586,145,Opel,C-Class,1994,ZBCKE9GV8833DKXXF
587,641,Ferrari,1500,1976,F5EUPSKT1621TT612
588,838,Volvo,Ypsilon,1992,UAEBRLB99YN5CRCFJ
589,296,Lamborghini,Vue,1985,S8BXM26T6SBVE69VC
590,794,Daihatsu,Levante,2022,XDF1CGMB77X40T02H
591,574,Oldsmobile,9-3,1983,07MWT7ALXSE8AGHK6
592,526,Alfa Romeo,Rexton,1977,EYX5K2W37LVH8HYUC
593,537,Genesis,Escalade,1998,3G9PRTDZ6LWN008HD
594,613,Saab,Altima,1983,CF15LUCY9HX0NEPDD
595,594,Chrysler,720S,1993,HGWDY7GV0FYLUC20F
596,583,Bugatti,Mazda3,1996,EDG3CXVF7CJW3KZVD
597,84,Pontiac,Qin,1994,PARRXLD80EL03CB0V
598,289,Subaru,Forte,1982,KSYYH3T63S3DWGD03
599,105,Citroën,Impreza,1977,NPXP2SYF4DRAE4XTM
600,220,Audi,Firebird,1970,CMZBA6Z33SRXRWJ52
601,73,Lancia,Huracán,1998,7GCJCW6G0KUA7LT3V
602,670,Lexus,Astra,1979,WFLAD2EX0ENSXJKXT
603,613,Mercedes-Benz,Huracán,1993,K28XGN159X8X700RR
604,512,Honda,9-3,1984,9SK6HW8T2XJWRWH00
605,704,Infiniti,Continental GT,2018,YTELCSNFXEJBKNGGJ
606,748,Aston Martin,Nexon,1993,VADJ4F1U67280974D
607,583,Acura,Wrangler,2012,GVLPNTAG88S5X1GVW
608,529,Audi,Range Rover,1975,6D9A5PEFXCDD8KPN8
609,114,Hummer,Astra,2019,B1Y55NPZ9CBX4EXLG
610,603,Holden,Lancer,2005,HVLLY6CN17L5BJBWH
611,768,Chrysler,Lancer,1989,9YU1ACWD15N1TVM77
612,654,BYD,Duster,1994,FPXYACDJ33H4P30DF
613,307,Ford,Elantra,1986,3PVAXMPW4C5EK5JF3
614,394,SsangYong,Astra,2017,1A2EWJB99UDA2UMNL
615,699,Subaru,XC60,1975,5Y4K1HSSX72SN3RE1
616,504,Aston Martin,C-Class,2023,WFWPRZLK2XADS7ADM
617,39,Genesis,Continental GT,2008,J6NMJTBV389EYX8TT
618,894,Changan,Golf,1973,7LRW16TJ1LNGGJM04
619,675,Chrysler,H6,2023,LRPJG27H8VFVW2E6Z
620,320,Rolls-Royce,Regera,2007,FLLRCPK62LJ52VVYR
621,129,Ram,488 GTB,1982,7G5707Y369TUZ9GZV
622,658,Lexus,300,1974,G7SUVGG3X9NNY1V0E
623,354,HSV,Copen,1986,ZE0NG66F3WB30LEST
624,94,Isuzu,9-3,1984,E7GUAPZ84H9WZ7S0D
625,34,SsangYong,Vue,1987,CHEBB1KH00SPXWTEC
626,879,Oldsmobile,Range Rover,1992,6Z68U17UXYVEKKCPN
627,335,SsangYong,Giulia,1990,6B708Z4E7MJDXLXNN
628,184,BYD,488 GTB,2014,4SGUZKCS7RDR2GB5G
629,388,Opel,Cutlass,2009,VYFAA1EH08JWXT3FU
630,974,Hyundai,1500,1974,UYPZWSJC8G9TWCDW7
631,66,Pontiac,TLX,1981,281FX37J9Z59KALWY
632,981,Chrysler,F-PACE,1998,SNCM46GP8CFD1SSZ5
633,285,Fiat,Copen,2017,AHJ8PU2A24VV3LBJA
634,56,Bentley,Forte,2004,LCUHV1DX4NKBDAUM7
635,849,Changan,Continental GT,2023,CP252R5K7KH2JV4NS
636,955,Lotus,Golf,1993,8CUAA3VH95XKKATUE
637,861,Bentley,ZS,1992,5Z1JEBN596NU7B0UM
638,138,Skoda,Octavia,1992,0433A8FA8AKVY76MK
639,780,Infiniti,Duster,2014,U83C4PU71J9GG1BKP
640,271,Bentley,Forte,1987,WVS1AUKT69YWVJKLA
641,920,BMW,Duster,2023,HBH3RG9H76KBVJHA4
642,457,Cadillac,XC60,1987,R37DUETC4UBVNNT0A
643,824,Saab,Swift,1975,X7M8R5Y3XV90NW9AW
644,692,Jaguar,XUV500,1990,WB3UVV4D76ZFW3F53
645,933,Lotus,F-PACE,1975,GK54SZ3AXA6BA7KY7
646,283,Suzuki,Clio,1982,B4453ZKY6G014MBZS
647,179,Infiniti,Camaro,2006,YLF6GG0D05AE1PJWY
648,118,Plymouth,Enclave,1980,9GURC7RD7YAL0Y67J
649,596,Koenigsegg,Nexon,2017,DJUR41NE41YDT70GY
650,293,Koenigsegg,Wrangler,1972,PEFRSUEP2DBL8ZYNW
651,413,Jaguar,XUV500,2002,90KKEKDE7HE92UL8B
652,835,Bugatti,500,2022,B0HFM5AN2ZF03FRBA
653,41,Chrysler,Cutlass,1980,B57UXC7K5815W4J4M
654,980,Holden,tC,2022,BED5HN000MH9TN4T9
655,259,Pontiac,Corolla,1993,5GNMTJK391TDXYKWB
656,354,SEAT,Forte,1995,7RFUT6555T18DA73W
657,518,Nissan,Wrangler,1978,1ERBVKJU825L3538H
658,547,Mitsubishi,Ibiza,2010,J3224N272PJJ8DPXX
659,213,MG,D-Max,2022,D1FDRKLJXP16SARHM
660,827,Great Wall,Cutlass,2009,TTN9P65E0NK3GU7A3
661,849,Rolls-Royce,Forte,2011,JYBL2P3Y1BL6YK94W
662,690,Toyota,Giulia,2023,B9EWUYXD3LHGMS7BA
663,954,Buick,Q50,2002,YSCBHLP06U78TCD28
664,392,Mini,Lancer,2000,37NSLUU657STYHV6P
665,838,Land Rover,Lanos,1971,NLH3MLLS2A79EKTHM
666,351,Bentley,Maloo,1972,ZG8JW8K05UDX07LN9
