carid,clientid,Марка,Модель,Год_выпуска,vin
667,691,Genesis,Impreza,1993,JK7BSBAF05D5EGA3W
668,145,Subaru,tC,1988,P8RE13JC45R3R2423
669,31,Ford,Swift,1997,BP1DB2070F8EG3CNT
670,689,Bugatti,Phantom,1973,9KLAUPM97XMA5L913
671,981,Scion,Enclave,1987,WSKCZ3ZR3RE7HC8GP
672,254,Ferrari,Lanos,1995,WC5SZR600S45D39LN
673,676,Kia,Civic,1970,2E4E858P6EBE8WH91
674,199,GMC,Cutlass,2018,TZHGS6A6XKR4H00CT
675,749,Alfa Romeo,Astra,1997,6E955SUM4HEGZ1G6D
676,224,Kia,Altima,1976,A5HWJHZC9GRVWXYLX
677,522,Lancia,500,1970,XGVCHMNNXYRLXZXE0
678,758,Hyundai,Range Rover,2000,Y3A0M82V937UDS8CW
679,409,Chevrolet,Impreza,1976,17K78SKD44A18NV3T
680,544,Volkswagen,720S,2020,KSMG39FB14A671HNJ
681,136,Lotus,Duster,1993,66RD8KNW4LLND4KP1
682,239,Chevrolet,Clio,2015,JTFJ5LZ1X8BAP3G7F
683,350,Tesla,3 Series,1982,J0UEH8AS1FRVWHLS9
684,881,Jaguar,C-Class,1994,W229WW051ULE9SALP
685,61,Koenigsegg,Evija,2022,ZN1WX4AK4ZH7VXGHY
686,119,Maserati,Altima,1981,HJWS3C931WC9YG48J
687,982,Acura,Sierra,1983,TYM34NV21MH1LZGKJ
688,881,SEAT,H2,1997,8YV648N1XJGN00ZWW
689,704,Chevrolet,Ibiza,2013,55TJ84P265W6KVHMN
690,7,Hummer,9-3,2015,87XVGUZT850XYNDWW
691,742,Buick,F-PACE,2016,5YJ1A18X1S11YXYYG
692,378,Citroën,720S,1981,6HU8GEXS96UA3GA5C
693,367,BMW,ES,2023,97H4VN59XV9HUV8H1
694,908,Audi,488 GTB,1970,M94UZCVE5XV0VRGV1
695,771,Great Wall,720S,2014,929MNZJ8549PV9HTK
696,883,Mahindra,720S,1996,WPD4AEP69TVTBSUVU
697,557,Scion,Clio,1987,M7GW5SX8X6JMSV4TP
698,282,HSV,Forte,2017,4FX0N07L5MTDEZTDW
699,435,Nissan,Emgrand 7,1983,3Z5ATST72M2M8FYLH
700,961,Lancia,tC,1994,3G0D5ZKG4JL7L81XV
701,886,SsangYong,Impreza,2000,GUXJA4138KF238HEZ
702,413,Dodge,Mazda3,2000,7YUMU4GP90X7L1JH7
703,765,Ram,720S,2002,073XR6Z27R1UU48M2
704,283,Porsche,Lanos,1970,TSDH75CJ2KA1Z1ZHU
705,291,Geely,Navigator,2005,01N65SF304KY7ZB10
706,902,Toyota,CS35,1974,F4Z7S9SM6TZPE314K
707,239,Pagani,Enclave,1991,ETXEKHLK6NLH9DAL2
708,690,Audi,Ypsilon,1996,ZXN40LDGXV11KZ1E6
709,219,Isuzu,Evija,1994,2SUC0DPJ43TKP0VX2
710,261,Saab,CS35,2019,DS6X72J87S2XD8C4V
711,796,Citroën,TLX,2004,10HL6YZ6XCTKP9VMX
712,512,Isuzu,Giulia,1985,BT03VUH17EYWG1W1A
713,58,Daewoo,Maloo,1991,NVUKF2JA9WTD6LBCG
714,239,Lamborghini,Astra,2020,VB2M1AW98NPMJZBAZ
715,691,Opel,Continental GT,1974,17YCYR9U9F1A77GYP
716,972,Lancia,Firebird,1996,6U56CTRD36GNAF7F6
717,541,Chrysler,911,2001,DC2V056A56DZ7WP3H
718,284,Bentley,Wrangler,1998,RK3KMYLU97CTLA9D2
719,337,Tesla,Civic,2022,REE5WGZ63DHT3BD3L
720,231,Lotus,Mustang,1974,TXH5LEUE8ETZSK5K2
721,11,Pontiac,911,1991,D194AXDL2SPP6ACSR
722,365,BYD,H6,2023,0UN3FXBE052UJFEBR
723,823,Pontiac,Swift,1979,L7J4CSPX4HL126H6S
724,520,SsangYong,A4,1973,SYWEAFFY4ZJFESRLX
725,858,Ford,Huracán,2007,GH20APE659HLY5U0S
726,640,Opel,Impreza,2004,CZ3TP8D11FHMXLW7X
727,111,Oldsmobile,tC,1988,XPEDZHK76R3KV4BC2
728,905,Koenigsegg,Range Rover,2011,PM9FBFU32WM18CFHL
729,85,Tesla,A4,1983,MLYE3WFS956B5RB4B
730,226,Smart,Forte,1980,LRLBVXMU12M49PLGK
731,396,Bugatti,Commodore,1992,EMNUBJ2G8A0E1040P
732,390,Opel,Range Rover,1994,501G24685K6KWL5KZ
733,158,Nissan,G70,2018,RYN54SEZ8RF5ASCYS
734,883,Hummer,Chiron,2002,KDBG4L782DDPYFN7R
735,206,Pontiac,Model 3,1978,PWSEX0WF03B7AKW4T
736,230,Ferrari,H6,2001,3CE57FKC3XAC10823
737,836,Audi,C-Class,1974,047PNV2D78U2991XV
738,893,Lamborghini,Levante,1991,DWFXEHD226SBZZDGY
739,679,Nissan,Maloo,1993,9G5PF6MB4PCYVAKJN
740,131,Daewoo,Navigator,1971,25FPJ5XN0ATNH07CH
741,714,Opel,Corolla,2015,5YBUZXDG44UDEX9NJ
742,126,Peugeot,tC,1973,C58UY7L99T4TXRF50
743,92,Saturn,H2,1991,3CZAJ77H0ZD3CRT6F
744,671,Holden,Navigator,2011,NUB5HSJF2JB0DS5P8
745,96,Renault,TLX,2010,U4A1A53L19VJYHKUA
746,283,Volvo,Firebird,2021,ED1SCGE50ZMV986T5
747,871,Daihatsu,Qin,2017,NLAXNVSX8RKZPX1ML
748,789,Plymouth,Corolla,1992,K20VYABT4N38GGLKW
749,65,Ram,ZS,1995,JG8ZHPE817V84EW50
750,982,Holden,Ibiza,1996,FLC65REY2369JTJHF
751,483,Volvo,Continental GT,1995,SMSXZ21323KMZU12W
752,70,Isuzu,Huracán,2018,TZSLYSH03E4NA8DC2
753,941,Suzuki,Copen,1980,6GSRY1D09SR04PWLS
754,915,Acura,ForTwo,1999,MSXB59B74MV8LK4YP
755,335,Smart,Mustang,2014,2NJ102D65MUZN5B2N
756,411,Jaguar,D-Max,2004,J1MU1CL4XNT7WCG6Z
757,809,Koenigsegg,C4,1978,EB7C7MU71Z429VN18
758,739,Smart,9-3,1996,9R09GGFK36VEZKMYK
759,832,Tata,F-PACE,2013,S9999BXF8G4CUB758
760,772,Rolls-Royce,9-3,1976,6SKFUNXD4A8610RR8
761,521,Renault,C-Class,2013,YWUFS05G3K5VNKW2V
762,437,Fiat,G70,2008,F3785CWT303KWX98M
763,210,Geely,488 GTB,1991,HNXMN1G98012F7L45
764,600,Peugeot,Challenger,1996,18GKFWHX4Z07L5LDP
765,868,Lexus,Clio,2009,CN0WMZFV6V8VX8JGF
766,428,Jeep,208,2009,V17THS0M8X2F4M564
767,793,Volkswagen,Escalade,2020,1P5ZARW25NYBUGKH7
768,442,Maserati,Altima,1990,VH2CGPAX5WFJGWVTJ
769,44,Renault,Duster,2012,6DSE2S539CSVL1KY3
770,205,BMW,DB11,1973,MLVP4JYT4VJ5H97KJ
771,890,Saab,Evija,2011,S09GJCB66BJ8TJBD9
772,454,Daihatsu,Swift,1977,NLL6Z4LW41BGTUHA4
773,763,Buick,Copen,2014,VM0P0M7D6GPF2G9CA
774,411,Land Rover,Copen,2010,F2VYMGK0947UBE33V
775,886,HSV,9-3,2012,30DPS5S64UKDXL8PZ
776,619,Skoda,Barracuda,2007,U4GLYHU89K21S9NAW
777,705,Lamborghini,Phantom,1990,LA4GHDTZ65MX117DT
778,478,Opel,Levante,1981,6082H9789KGZY321W
779,976,Land Rover,Elantra,2010,AWCSDFGD8MK481910
780,625,Volvo,Lancer,2002,GAWWG1KY63Y9JJ6CK
781,996,Geely,300,1981,SS3FXD0S4ZYY3JY9F
782,916,Porsche,Qin,2013,DCPXCC3D1L6DHG3DF
783,512,Geely,Escalade,1984,2U23T7F2409LEPJGS
784,748,Hyundai,Model 3,1970,GN5K9WYN1DY7YKSN2
785,144,Changan,Mustang,1998,RX4D505S1M9PHHMUD
786,902,Tata,Range Rover,1993,J23SYK0X3ATUBE1PU
787,629,Chevrolet,Wrangler,1982,Y10RT8K67EG25W7B0
788,984,Daihatsu,1500,1989,HVT6EYED4VY303UZ2
789,122,Daihatsu,3 Series,2021,W03YCW2W6MEDVVLEH
790,880,Mazda,488 GTB,2014,J0R496P812E355J1K
791,918,Plymouth,F-PACE,2005,6MA8BGZK53ZTPWEWK
792,94,Infiniti,Camaro,1981,HX79WJWAX91E1VRYU
793,992,Land Rover,Q50,1972,L7SSAL3SXYEV07DRX
794,176,Mini,TLX,1971,JYHSEYWJ1S8F771ZV
795,945,Chevrolet,Duster,2019,CR7U5NTU0G3M14FZZ
796,744,Scion,Swift,1973,9PVYSLAU0DYEH76HW
797,883,SsangYong,ForTwo,2018,V35ZUS0G6TTGMES5J
798,110,BMW,ZS,2016,JY4AY9NUX5KM4BXB7
799,360,Renault,208,1973,LRK376XH3NN09U21M
800,934,Subaru,Phantom,1987,EWJ7EUBP4BEWPWG6M
801,496,Pontiac,D-Max,1976,0N61EGT11VCY94P0B
802,555,Saturn,Qin,1997,HPFURSG43TVMHEJHB
803,682,Maserati,Octavia,2005,HH87VX3C7M1KLLLBX
804,208,Pagani,Q50,2004,PGG89VTL1K57V20ZB
805,924,BMW,Forte,1999,7ELWD73Y9FJKBPTHL
806,54,Ram,911,1982,5RNWHKVG3XVPHW4PY
807,847,Bentley,488 GTB,1987,WC2XJV340W45S7RB8
808,843,Rolls-Royce,Levante,1975,MDT0F8TDXJNVHCPV0
809,520,Pagani,1500,1980,SB3YU3V837E5VGADE
810,828,Pagani,Navigator,1982,4WVUDUDR6PJ5PKKZX
811,392,Holden,Cooper,2009,61DKNYJ985K844611
812,505,Bentley,Lanos,1974,7DL6ZP955PTRZPPVY
813,471,Saturn,TLX,2008,FA5RSZHT57T512NLW
814,158,Rolls-Royce,Chiron,2020,6BVRLJP84E0UXU1GY
815,401,Toyota,tC,2004,9AUFEZSP078EB8YV1
816,132,Bentley,Enclave,1981,HJ0RL95P40C8WVK5F
817,92,Bugatti,720S,1972,35SZTASL6GHS3U1NL
818,416,Daihatsu,DB11,1986,PYFUEUP71M9JTA59H
819,223,Hummer,Levante,2007,PGSZ2TH58R61TGMHZ
820,926,Lotus,C-Class,1991,3G0J63XR0E5LHWLH8
821,886,Volvo,Levante,1978,G7RCWGU465P4G3B5X
822,808,Oldsmobile,Continental GT,1994,EYF014DG312JJY39F
823,23,Daihatsu,Corolla,1989,HBSBML330D26WBR8J
824,309,GMC,Navigator,1975,1VEGDVV57VSMRZD28
825,681,Fiat,Sierra,1976,VZ75HP8K467458RPU
826,895,Jaguar,9-3,1992,L87DB28J9T6TTUU4L
827,633,Volvo,Impreza,1990,D8FTPWV01ZFD8X499
828,530,Rolls-Royce,Mustang,1994,03WNRVGS7BYRA50SN
829,426,Lincoln,500,2011,1BDCV84F4WB4MDRE6
830,211,Infiniti,Maloo,1976,DMMWBYWD8C5ZD1S96
831,728,Infiniti,A4,1980,9GW3KTRC70YYKV38L
832,781,Pagani,XC60,2007,KT8D2JV95JKW600MK
833,325,Suzuki,D-Max,1984,1EUJDCUK5JHGYRWE0
834,717,Dodge,9-3,1981,CA9WTH0M87L4MMY4N
835,279,Saturn,Firebird,1982,NH29LRJR8FF1CW9ZV
836,472,Kia,Maloo,2005,16PW01NF3YEPFJ550
837,571,Saab,C-Class,1987,GWFWPRHZ6T1WPM2RA
838,611,Koenigsegg,Cutlass,1975,CFENEGC57VML0B1P4
839,214,Hyundai,500,1992,52N6084E0W09ES0BK
840,563,Ford,500,1972,2H88LTCX5XDRGXMMA
841,134,Isuzu,911,2014,1W7JLHNT9529MUXF9
842,879,Tata,Huayra,2008,9WRZ4FSJ5CL12UENS
843,630,Lexus,Corolla,1972,1F1W7D8L6A8RCZEUE
844,261,Nissan,500,1999,TU5X9YZ224V01GGVW
845,331,Acura,XC60,2006,MRU350JK2PUUH3SJP
846,844,Genesis,Navigator,2013,RWHFUJN68MBGNC0J9
847,832,Saturn,TLX,2006,TLGXNL2P22ASC3S6M
848,498,Dodge,Mustang,2013,GG218WXF5V8SP7CMD
849,154,Dacia,Vue,2010,70J1D72Y5MZ36GP2W
850,788,Chrysler,Civic,2019,4M3AUDWV7H97WX1U8
851,798,Smart,Continental GT,1970,606TK4KX1G9V5AZK6
852,740,Pontiac,Wrangler,1987,WCEMS2D40D2P4RLXF
853,150,Mitsubishi,Rexton,1979,AKNVLSU90RDL17RKM
854,213,Scion,300,2002,GSY8FR7M0F3UBWVRS
855,434,Smart,ES,1990,ULLWWPXU44MA9FR42
856,908,Isuzu,Mazda3,2008,4R77H9WX4AKPEPY64
857,145,Hummer,Huayra,1999,5LDNLMDK8WWZS0M73
858,95,Mitsubishi,Qin,2009,C4KNAAZ5071H9TX9P
859,644,MG,TLX,1986,8WLHW5YK7VH51KBDL
860,650,Alfa Romeo,F-PACE,2003,K6PM8XAJ50F785AMU
861,996,Peugeot,CS35,1988,L8CEVPR19EPVJA952
862,659,Cadillac,Escalade,2023,7XG36NTK9HS1SAKKD
863,105,SsangYong,Impreza,1970,4311LUG90242BGN43
864,211,SEAT,Continental GT,1984,2JMYDVND0YBA23EC0
865,676,Opel,C-Class,1994,PA3NF9A09VW748348
866,916,Infiniti,Continental GT,2022,BLS5L89B28B11PUJ9
867,833,Hummer,Escalade,2019,WAWNKF9N0CBMTWLEZ
868,569,MG,XUV500,1997,XA7DR7UV5ABUC2G2A
869,965,Chevrolet,Navigator,2006,J8ZZMW6Z95GZ7K77T
870,899,Opel,H6,2012,UALJC5897G263RYHW
871,90,Toyota,Chiron,1999,D7DKZYCU3DSF7CMKY
872,515,Toyota,Challenger,1996,2F8MH2LA4V6WBF7J6
873,453,BMW,Ypsilon,2005,UZU75FGF5RW1W1YNV
874,387,Volkswagen,Ypsilon,2012,ESHVR1TK8CFTLHGVB
875,518,Hummer,Impreza,1997,GWGL8E2W7M539P0HK
876,382,Changan,Octavia,1979,W5F1Z3Y227NZABN94
877,30,Oldsmobile,300,1993,R2SYGXS48ZTXYL83P
878,189,Subaru,Rexton,2003,3VMXP3H46XKUM088S
879,749,Mahindra,C-Class,2012,TUZWN1YN7BR9YZ7YW
880,446,Tata,Qin,2002,5NX52M7S8UG0B8ERC
881,452,Mahindra,1500,2011,LSWBZ8GXXJB7CWMK6
882,197,Tesla,Navigator,1979,F3Y9BPXK70Z7K3FCM
883,476,Volvo,488 GTB,1990,99P80XJN0HUBNRJ8T
884,185,Pontiac,Commodore,1983,W4Z7KUXA4F0M5WKZX
885,984,Jaguar,9-3,1977,YPPTX6DT1SB2WK5AS
886,446,Dacia,ForTwo,1979,A28LNGUY3D0RU5D3F
887,934,Lincoln,Escalade,2005,ACFS5LLE72YCE6H1F
888,988,Lexus,720S,1998,D6K8JNV962H46DE33
889,363,Plymouth,Lanos,2013,LJP7FZKM6F9H5PNRB
890,113,Jaguar,Mazda3,2002,URK12TDH880LSR8AJ
891,598,Subaru,3 Series,1991,59RPH35Z5GKCT6F0L
892,277,Mazda,Levante,1975,WHRN1WRE6HLBAWHD8
893,983,Lancia,ES,1974,JWWAYBKH05SSU6T7V
894,38,Citroën,Forte,2007,8E36B1EH3BUGLPA3M
895,964,Ford,XC60,1974,ZG00A8NE55PMZSJH2
896,171,Saturn,Vue,2015,A0WZNZFX56MVXPRWD
897,78,Smart,ES,2018,BJ76AK1X4FYLPF3KY
898,960,Oldsmobile,3 Series,2021,7YNN1ALM4UXKHTG90
899,528,Honda,Nexon,1995,1D6G23XP4FTLW9GLM
900,449,Rolls-Royce,CS35,1975,H2RS08YW6E4GW9RE6
901,913,Jeep,Astra,2009,ETDE36N013KGSPBN4
902,233,GMC,Ibiza,2009,HRUZBCMY9KY4RWN9L
903,746,Ferrari,208,2002,RJTKC0PF7H8XN8USE
904,892,Nissan,Regera,1994,JMRL7C861A57C0SR3
905,569,Daewoo,Qin,1998,L4PZZEBM4NTH2P5XM
906,339,SsangYong,Vue,2021,W48FD8AM33EZ4GWM2
907,183,Acura,Mazda3,1986,G3FDFXP46L3NF91TF
908,325,Tesla,Enclave,2010,2MVGG7UC0F0HLGXJ3
909,893,MG,Forte,2000,LZLC6CHZ8S1A1F48X
910,729,Bugatti,500,1996,Z8J7SGB0XHWGUKUPU
911,119,Mercedes-Benz,500,1984,LSHX2ZZX4SZ6U5987
912,810,Volkswagen,Altima,2019,SMTFPP5Z2F514NBWX
913,464,Pagani,Huracán,1981,KXNM9G1W0L0N4FHUJ
914,810,Volkswagen,Clio,2022,6ADPU3FF86FCY0HXA
915,417,Volkswagen,A4,1995,1MJFBT9B1T3KH5CHM
916,53,Mercedes-Benz,A4,1993,STRUTAWT73B4L0D5Y
917,310,Kia,Copen,2020,4VG5HC9V1VVVZ9UZA
918,350,Daihatsu,Duster,1970,C3YANFWR6KKEC937E
919,246,Holden,Rexton,1976,07W21WYD7M7HW4HMB
920,948,Cadillac,Duster,2012,J8UAMFNL8D3JTR8NH
921,294,Ferrari,Q50,2008,ZKCG364R76RU49YPX
922,736,Chevrolet,Corolla,1976,5MJ6LE026HFSCG89Y
923,754,Ford,Cutlass,2003,WX1WAYW30XSADUX1N
924,891,Plymouth,TLX,2013,2UD7ZJBA2ZP4W90ZA
925,800,BYD,C-Class,2023,TT5GTHUP8VPF6EV3J
926,248,Bentley,Cooper,1976,1NRGSDJK8TKA42C2Z
927,367,Bugatti,1500,2017,EDB2K36P470PGHTJ1
928,738,SEAT,G70,2017,BMZH9UJ38NCPCW44P
929,836,Chevrolet,720S,2015,P84BBRB670G89RBCR
930,159,Acura,Evija,2016,CTSC919Y2AD7FZ90S
931,961,Rolls-Royce,G70,1995,Y537TBDF5HCKCJDHF
932,847,Land Rover,C4,1975,AHFM19PC8Z8PJV339
933,676,Saab,tC,1999,TXFF3FX507X160DMC
934,293,MG,Chiron,2004,EDZ2ZC1T484TK80U1
935,654,Plymouth,Golf,2022,CE0422PW2S6N5941G
936,948,Daihatsu,Clio,2002,5UGHRX6L4XU9G1X4Y
937,341,Isuzu,C4,2015,78J746UJ86J0YTK62
938,692,HSV,3 Series,1971,FJUP2WWL9WL1ZVWA5
939,445,Scion,XUV500,2022,7ZWGGFT8X24WLEFGP
940,104,Peugeot,Phantom,1973,4PSCAW9HXJH34CPL4
941,827,Changan,Model 3,2007,RFC6TEVK7UJFLHYEK
942,468,Audi,ES,1978,RHMK8CLY4RUXUKU5H
943,417,Cadillac,F-PACE,2004,KK0CRMN6XY2N1VF5T
944,949,Nissan,Huracán,2017,TB4LPZUV062UT1XLS
945,660,Mitsubishi,Escalade,1977,DR81MP544VEZD0ZSL
946,489,Volvo,300,2006,40HXF6DYXDKARAE3G
947,934,Acura,Impreza,1990,ABYHXMFX149D181ST
948,712,Fiat,F-PACE,1970,EK316CJ69EX6R3BUW
949,964,HSV,720S,1987,K4D6J26R2YB5RCALY
950,109,Hyundai,Chiron,2001,F7BJJLML3B70NUZAY
951,778,Volkswagen,Rexton,1975,Z3EYH8B351VN4CJ5L
952,986,Chrysler,Commodore,1972,4UDJA5DW9UK0TP9F2
953,194,Saab,3 Series,1980,WWKTJMDU2J6N4EUX3
954,126,Genesis,XUV500,1982,78H09T51X6EHH9CGK
955,276,Cadillac,Civic,2011,EBTGS12A0P6HUJ192
956,963,Infiniti,Regera,1990,338MTGJVX15J0T51B
957,596,Lexus,Elantra,2008,3U4SHR906GTHU50EE
958,842,Lincoln,Wrangler,1986,SL3TCDCY2CARL2XF1
959,13,Nissan,G70,2013,ZW1CDTA50ZB20ZGMV
960,597,Acura,ES,2005,MS6GDK52XYEUGF9P6
961,720,Ford,Vue,1983,2E17M2XE9AJ8UDKV5
962,455,Cadillac,Continental GT,1980,W4ST5N0831PEXFDR5
963,908,Opel,Golf,2017,HG6FRE0U86YEAF4DY
964,229,Cadillac,XC60,1971,65KADLRS3P1LEH4WR
965,200,Bugatti,XC60,2001,0LVRX4G33C4BBRGV1
966,105,Opel,Ypsilon,1973,N9Y8LX7U10H07JDPK
967,765,Oldsmobile,Commodore,2010,HLTUEVUG6P8XVY4L8
968,640,Dacia,Model 3,2016,CY98BF498Y21BSNY0
969,223,Opel,Chiron,1994,HH62YCWB62Y4C19N6
970,775,Rolls-Royce,Impreza,2004,XPS14YCN49MRUCKTH
971,466,Lotus,Q50,1985,Y5GMM1G15JAYVDG77
972,63,Lexus,C4,1979,EYTMUU8F773VEYHPD
973,186,Nissan,H2,2010,RUA35VHJ3ZJWDLPHT
974,674,Great Wall,Cooper,2009,D2U8RV7T69MCDMRK5
975,398,Lamborghini,D-Max,2009,VVFWSYC46XUGTPLR1
976,265,Chrysler,9-3,1980,CJPLXRZW61CN6KST3
977,258,Jaguar,Forte,2009,HN19UGSN2373RGNAR
978,391,GMC,tC,2016,PCJEEHLL707CLNPG1
979,498,Buick,Levante,2012,CBKA10M12U84819HX
980,596,Mini,ZS,1974,WLL19SJW07M97W28K
981,939,Buick,Lancer,1974,5Z9VEJTD9TT77PRZA
982,542,SEAT,Phantom,1979,UE6UU1J37JN9YLL6J
983,229,Lotus,Altima,1985,3ET8B79U858X4RFYJ
984,508,Volkswagen,Navigator,1992,X9ZLX4MS3U4HM24JE
985,758,Lancia,Challenger,2007,62DCKUHD8GUWTNL01
986,793,Jeep,Escalade,1992,XKC59PWZ2CTMTACFY
987,861,Jeep,C4,2021,A68PRBY322CK57AHT
988,226,Tesla,3 Series,2005,NVCG9LBC751XPB9D8
989,285,Geely,Forte,2003,D42HBD8RX7WGRFFRH
990,383,Volkswagen,Civic,2009,3YFURZ2K43VJRF8NY
991,317,Ram,A4,2021,E2YSJ32650CRC5NAS
992,601,BMW,Phantom,2013,DFNSVGVKXT0RNR76V
993,360,Dacia,Mustang,1974,AZ79JJWG0EYFCNXGH
994,126,Ford,DB11,1997,SFRPYFYPXYDSSUU99
995,952,Geely,Wrangler,2010,43S8E60N6Y0CXF2BD
996,829,Jaguar,Model 3,2018,78B9VUGU17RYVM17U
997,40,Buick,XUV500,2023,RSE99NZX7639824B7
998,562,Maserati,Sierra,1974,R4EXEACR6WXXC127C
999,548,Kia,1500,1980,0TZR6L219NFSDHEN5
1000,578,McLaren,720S,1979,5ULC0D4E6TMVJVV8R
