carid,clientid,mark,model,year,vin
1,672,Suzuki,Model 3,1981,MVYBCU597Z1XNU6T5
2,994,HSV,CS35,1975,JK210DPP0CDBCHPS4
3,258,Suzuki,Octavia,1997,UCELDY40XL49XSMXH
4,486,Hummer,Lanos,2005,KY62P9YR01FT296ZU
5,577,Geely,Escalade,1999,CUVZ3ENH8JYC49EHU
6,502,Oldsmobile,Escalade,1987,A33C6R928ZCGWHDX4
7,317,Suzuki,Wrangler,2005,FNZTTDEY1AE8TUKU6
8,544,MG,Barracuda,1978,ZHHRFAXW6FN2YXW3V
9,858,Peugeot,XC60,1986,J7N1PK7T119LBBKSW
10,629,Genesis,Cutlass,2011,5B8NS0AH000D2KGPG
11,952,Mazda,Forte,1973,F2WZGYEE2N9ZT260N
12,331,Volvo,Cooper,1981,H1W6H30D72GHGN63N
13,86,Dacia,Golf,2003,GEHFHT9P7UWKXV92U
14,604,Tata,Lanos,1994,S65TWVCS8XERRH6YY
15,819,Great Wall,Ibiza,1994,VZXK8K0Y9JKLWPPMD
16,94,Volkswagen,Golf,1987,XJPL7SJD9L6VEFM99
17,502,Skoda,208,1988,LJZA8CBC68LAYME01
18,903,Hummer,H2,2000,41A5Y9EV1KR3381ZU
19,606,Ram,Huayra,1973,GM8RG29G2GKKSP3XP
20,669,Geely,208,2005,9GXPZN2L02YAJNC7K
21,919,Lexus,Evija,2016,BM0P821V3NNZNA0J0
22,818,Ram,300,2018,K2V163KR76ZH6YBLA
23,735,Volkswagen,Challenger,2013,JFNPZAEP1VWZ8XGAP
24,182,Citroën,Astra,2012,YPK67WS67BSL49XWW
25,724,Lancia,Vue,2001,M74BPDVT5M8A108A7
26,479,Infiniti,488 GTB,1976,P8U12B2N8Y7XXYTKT
27,904,SEAT,Navigator,2011,ANUMGHVU4HS7AGXZ0
28,268,Chrysler,3 Series,1971,1Y8B96GH1JTH27XUC
29,761,Lincoln,Corolla,2010,W0FZ3ESE6MG3LAJBJ
30,99,MG,Evija,2007,TD1ZKC1N909ZD5JNM
31,349,Lincoln,Barracuda,1972,XXW1K0XK6WKUBUFCR
32,261,BYD,Clio,1985,LM25NV3S3CJ4V7G3Z
33,98,Ram,Barracuda,1983,471CKHG99JPNBG5L1
34,918,Peugeot,CS35,1995,NLSASZ0E6XNHM6971
35,319,Ferrari,A4,2018,G0P5D0MJ34F1TYZ6T
36,303,Rolls-Royce,Swift,1990,RYYTYRNH48T1X8CAG
37,107,Plymouth,Huracán,1998,UD3YSKUC7RKAUT1D4
38,843,Renault,Rexton,2022,B6TSU3TZ3M3DYTUBM
39,474,Chevrolet,XUV500,1978,0C84WPX93XMKUU7K9
40,484,Daewoo,Q50,1984,HBV4B3W58294GLRV2
41,101,SsangYong,9-3,1981,UEJM6MDG287GZY63D
42,1,Porsche,Escalade,1982,U24VZB8F737YVV9WM
43,926,Opel,Mazda3,1973,05TS7D1C7JWABJ26R
44,963,Acura,1500,2001,WGAKGSRR2CG1ULH8A
45,958,Chevrolet,Elantra,1997,YFW4TCBT7RPT1R3X5
46,980,SEAT,Nexon,1977,HXUS1FPE3NG97YA0B
47,221,Jeep,G70,1979,USL41C7T3NJ2ZXKH2
48,457,Maserati,Model 3,1970,NERF163L7RSR1CXSS
49,134,GMC,XC60,2020,4VET3CRY5GSUR6DRJ
50,777,BYD,G70,1987,ZJWV3A3W3LE406JJJ
51,605,Tata,Impreza,1988,0EFKWNJC04FFRP5DD
52,707,Mercedes-Benz,Copen,1983,CRENAF3E8WZA6BKY3
53,149,Lincoln,Continental GT,2020,D2CF8UM8X73R3CZ2N
54,41,Smart,Swift,2020,5XAKRG978AM4GY6YV
55,872,BYD,Firebird,2014,S3X7P8DK4FB88D6JR
56,560,Ram,ES,1976,CR76JVKM45894LC36
57,806,Daihatsu,300,2010,V976KCDT2ZR1F4ZTT
58,118,BMW,Phantom,1985,WLMFRHFC329BBP4XM
59,147,Ford,Escalade,2012,HTELZMC65PSBDF5F8
60,878,Suzuki,Astra,1990,AVVMU6C5XR5KN02LM
61,634,Changan,Vue,2020,B4Z5AUJKXZLS07SYB
62,588,Pontiac,Evija,1989,RAZRA92L8BV001SXG
63,190,Volkswagen,Corolla,1981,1AFZXCPZXX92J17TH
64,395,Volkswagen,Duster,1994,6GHE2N6V99RCZ79UK
65,495,Rolls-Royce,Model 3,2003,PHR0KHWT6G6JLFMX7
66,448,Nissan,Lanos,1991,UWKMXZ165XNDJYPL4
67,58,Infiniti,Rexton,1983,SR9L8K9K1UY5MESPS
68,974,Citroën,Corolla,1997,GNE8DFLX2UJKH4VHF
69,340,Maserati,Q50,2020,XLY6GU4K4MPNN871S
70,915,Lexus,Vue,1994,E4REXRRH7EWTG31HX
71,436,Bentley,208,2015,TNZPF1UF6XM3F9TG3
72,898,Renault,Huracán,1993,X809PHST33V7AUATW
73,442,Bugatti,ForTwo,1989,5WV489YA5VH4UYD6S
74,842,Nissan,Astra,1978,WK0D9NXN2GR7VJHTR
75,964,Jeep,Civic,1994,HPNL3NGR6DT1EMA2U
76,607,Ram,Astra,1986,EK19GAXF4EDWBDZPB
77,529,Great Wall,Chiron,1988,F3UKZ3CJ1GEHEKX65
78,56,Suzuki,tC,1970,UNMRYJYH1PB0FBCLL
79,678,Plymouth,Continental GT,2013,ZFGU8DCK7BBNVJEX6
80,305,Mercedes-Benz,Range Rover,1980,4E5ZWL2M3UX63E9MN
81,546,BMW,H2,2010,T0F89129XLKHRJ0T3
82,734,Mercedes-Benz,Lanos,2007,RS7ZNJXF9PCFAMLKT
83,131,Hummer,Levante,1973,RB9WR6RC8GNF8LEW9
84,769,Suzuki,Barracuda,2018,WGP92R68385H32ZWP
85,140,Cadillac,DB11,1983,2YW9DYUH5G0Y6BBGX
86,613,Maserati,Huayra,1981,PSHFKAT75N8C9ZPJH
87,644,Aston Martin,500,2016,CZ3ZJ5SB9EW0N9CG0
88,161,Smart,Firebird,1979,9JVURWDN2299X3XM3
89,333,Skoda,488 GTB,2014,JVWC73Y896GP1G1RA
90,283,Dodge,Emgrand 7,2019,LNM83FJE1JDG99TP7
91,577,Hummer,XC60,1996,SZG4GGF49782FFZ49
92,488,Ram,Impreza,1990,NW7HW7NA9PFBGK13M
93,189,Kia,Enclave,1987,XZ1Y31D582SWZ5ZES
94,457,Chrysler,XUV500,2013,PUJ9Y1LH3DTFFJCEL
95,401,Saab,Forte,1970,JDSBP1JSX3M177UTT
96,780,Smart,Emgrand 7,1996,C5HM18TE5WD5Z8PPG
97,294,Mini,C4,1996,R6XY5DBL4PTS3VJ6H
98,552,Mahindra,488 GTB,2010,CW6H09ZD860B8KVV8
99,182,Cadillac,Continental GT,1984,5JS2BNYP5WZXHF9NR
100,834,Hyundai,TLX,1994,KKP9CVGL9VGTMR8G3
101,922,Infiniti,H6,1973,00M90UPZ2X9HK993U
102,76,Bugatti,Elantra,1996,X9MRSKLK663RHTTJN
103,987,Mercedes-Benz,Golf,1986,C6LH0ZV481GTSFYR8
104,472,Saab,Camaro,1995,HPJKEGE77KLY9PBTB
105,499,Hummer,Mustang,1979,4AH06LZTXV2L27CL0
106,876,Lotus,Corolla,2007,TSYWCHRB4G4F645H3
107,181,Volkswagen,Lanos,1998,L82542UB063JJUNET
108,826,Smart,Astra,1982,HTM4J1UB56149A5F3
109,171,Mitsubishi,3 Series,2005,677M3B6369RGX1SU1
110,593,SsangYong,Elantra,1978,07S5VL4MXBU8X7JZZ
111,61,Subaru,1500,1998,VKGBRWH59CV5XKL9D
112,364,Hummer,Octavia,1993,044LVSWY7NB8DGVCJ
113,496,Porsche,Civic,1973,PHWZ9U4D02NS9FYYH
114,951,Hummer,Levante,2009,MZXSLKCX2DVZH5D5J
115,192,Scion,Altima,1976,HGD245KM5BABWZUNY
116,324,Tata,Lancer,2017,P7UH22UX294TB7434
117,173,Daihatsu,Altima,2010,V13Y3Z4U14KPXEH25
118,927,Dacia,Vue,1977,R25KMYUE29ECM8V7S
119,423,Kia,Swift,2000,K7H2WA6F3MCS40Y69
120,269,Audi,Camaro,1972,2CGTPUAV7XT4TXWCY
121,561,Geely,Cooper,1987,K17J4RCN0F2WT5ESJ
122,784,Tesla,488 GTB,1981,1ES0AZ1S32EYE79KK
123,490,Suzuki,Impreza,2021,GASZMKS58V6SUK63F
124,803,Suzuki,Sierra,2009,PBPW1K1H6H1RJ13XP
125,73,Great Wall,H6,2002,9PDYDGV48TXZB20F6
126,35,Land Rover,Swift,1993,UU4KFRLZ69BD2SWLP
127,325,Peugeot,Camaro,2022,PYTZ9FJ06A17PG6M7
128,734,Mini,1500,2000,MPLVTKV77RFDSU73E
129,881,Saab,Altima,1989,KKGYDEX97G2DT4P4S
130,646,Dodge,H2,1981,B7D38H717YZZ1A555
131,486,Volkswagen,Huayra,1997,3M4D473B9N46BZ4V3
132,929,Alfa Romeo,A4,1980,DZ6XSG0D7842KNJHR
133,84,Daihatsu,Nexon,1982,3JGN29VB442B4GUFF
134,339,Daihatsu,Escalade,1973,5NM98A8S01VP0EYD7
135,93,Nissan,CS35,1998,BXZAE3SZ4D3DCXNH6
136,567,Bugatti,911,1975,BN0F4T6Z8ZC2JLSDX
137,246,Audi,Levante,2001,M05MB0TM9CVG5YX6K
138,828,Lexus,Phantom,1989,7UZCAF8SXK99JJXN5
139,766,Dodge,300,1999,PXSD5F3F98JT087D8
140,559,Honda,XC60,2022,3797DDVV35HXTKW87
141,924,Ford,Duster,1970,X08PVEFRX4RC0HZMW
142,556,Fiat,Corolla,1994,C33CDVZAXG9KWVS1S
143,476,Audi,G70,2002,8MD59WPG73FC4ED09
144,365,Skoda,G70,1977,CWLCXU5M963FC2W4V
145,122,Alfa Romeo,C4,2017,5ZH93NGD749RXH6WR
146,901,Jeep,Forte,1977,P498P1927RNF40DV2
147,406,Tata,Continental GT,1978,CW1UR77461H1LDVJ7
148,730,Audi,Regera,2004,BHP4440P8WTELCBXD
149,808,Bentley,Evija,1989,UMYGKMBX18K5WNE62
150,986,Great Wall,Lancer,2002,8TLRLMK04NRUYPB5T
151,196,Bentley,Forte,1996,43GAENS4349C2KWL7
152,392,Skoda,Levante,2003,J5U09R4X0V1BR31L3
153,326,Ferrari,Corolla,1986,D8U9B0EB84CCT0LK2
154,328,Tata,Impreza,1990,WSUMSZ4K10XYTYRMV
155,591,Citroën,XC60,2003,TB3TM4M80MM9H6G11
156,17,Mini,Duster,2022,FD2ZHJ8WXYMAY58RR
157,606,Isuzu,Phantom,1977,TYY6RAKV212ZRU3JP
158,977,Peugeot,Duster,1992,W8A2F9J71T1DGMS2S
159,302,Daihatsu,D-Max,2008,SLJJ7JC264ZCFF3D6
160,882,Lexus,H2,2009,DWFHB2GG31P4Y8HN0
161,779,Holden,Enclave,2013,GECWR37GXL1JD0BFA
162,140,Koenigsegg,Regera,1993,Z5XNXA72XNLYF5E25
163,12,Scion,9-3,2019,SN3D9J3G7TFX0BSW3
164,104,Ram,tC,2010,PT44TEPG1A0P7XMVN
165,605,Audi,Ypsilon,1988,ZS9SBFJJ5T62EC7ZJ
166,636,Lincoln,Mazda3,2013,C2SVES5WXLAVPKS4H
167,394,Lamborghini,Firebird,2011,SRBD8K5C3H5TZS3ST
168,246,Chrysler,Commodore,2021,9ZMJBA5G4BBRNVKA2
169,460,Hummer,Duster,2021,BPB9SPY97K2KRUCED
170,15,Audi,Phantom,1987,WJD1RPE38E7CA0N7E
171,976,Ford,F-PACE,1977,Z9E9FMJB75RJD4E63
172,495,Changan,Forte,1999,RGVRBMKM386XPC2WM
173,763,Daihatsu,Rexton,2000,KAFAH1HK6CV50W8AW
174,981,BMW,Giulia,2008,7D3VVYDB6XPLP3MU0
175,539,Tata,Regera,2019,BLGFEE2K9YY38FLK3
176,410,Geely,Sierra,2014,T33LYLFH4B1NKTHJ0
177,338,Lancia,1500,1991,CHLMTP8Y50S6E9VK3
178,962,Pagani,Rexton,1989,KGXFCCTJ6UE3VABG6
179,41,Nissan,Corolla,2009,MWPJYNKR1V6Y5KMMT
180,283,Porsche,Chiron,2005,626UD0GG5V3CVAURK
181,201,Lotus,H6,1974,7U52F2N30ESPPY4NF
182,566,McLaren,Giulia,1996,M7SKH64H0GNWAW5GE
183,73,Lancia,720S,2012,MG3AEFBT88RW2MRHH
184,678,Saab,C-Class,1974,HLG28JBM8MBJS37DZ
185,266,Mazda,720S,1971,SK7T3Y85083FC7WUJ
186,949,Great Wall,Duster,1989,BSDCHHMG8GT3HM16P
187,834,Tata,G70,1986,0L4US97E5RHE9C7UP
188,633,Chevrolet,Lanos,1979,SKNVLCUC27WKX0LRK
189,359,Maserati,Maloo,1980,E9JLKE326ZKJBGM26
190,231,McLaren,Enclave,1994,4RVJ5HRP0PJUGV95H
191,882,Buick,H2,1983,J5YE4GVS2WGT5D6BS
192,66,BMW,C-Class,1988,P4PSUMS30S4PDRPBR
193,472,Saturn,Navigator,1993,DWCCVFMY5EEVMRYAV
194,525,Daihatsu,Cooper,2023,FTX1RFBD302MXBDKW
195,969,Pontiac,Duster,2005,A0JJEPMA6J51W2MBA
196,651,Saab,Enclave,1974,GRLCWWSW0JBA9ANB5
197,445,Honda,Giulia,1992,VCBE1B0J0RT1G7SDG
198,502,Jeep,Nexon,1983,7SHFM1Y3932HC11VZ
199,241,Acura,D-Max,1988,Z7RMAE3R26MWC9N1C
200,889,Land Rover,G70,2010,8N06W1U743VSXU2LT
201,965,Mini,Altima,1980,T4AV1G7K6ZKV72SJV
202,354,Mitsubishi,Sierra,2022,EJYJS9MP50FYNCYUL
203,476,Subaru,F-PACE,2022,W6PBFVP96WBNXU994
204,694,Dacia,Chiron,2012,F5X9H4T059FSMYEEY
205,16,MG,Maloo,1999,NE4FNDSH8PM5ASP9A
206,140,Smart,XC60,1996,MYK22RT67NA2LK7XK
207,169,Citroën,Cooper,2016,LZ795ABUXK9ZGEUS0
208,98,Pontiac,911,1973,83WEVLFS6YG5ZZAL4
209,83,Ford,Evija,2008,PUHLW51D0WJ44LU6Y
210,12,Suzuki,Ypsilon,2003,X1G1Y7WH52CVN2BC6
211,720,Jeep,Chiron,2020,U5LP2N7R93KUEU2VX
212,448,Daewoo,Duster,2015,CE5PDA8X4HNU2YDY8
213,279,Scion,TLX,1983,5PD3TJPK798P3RLB3
214,390,Pagani,Astra,2002,0UH8S8V3813WXUG1S
215,983,Genesis,Sierra,2016,HAAHWCSG5ZTAXAFAA
216,210,Audi,H6,1975,09DE1FGU36D4G6VD2
217,379,Mini,DB11,1978,FMBRG7WA6Y1CUVNNA
218,512,Ferrari,Huracán,2018,07R0S5GL3GG79AVJF
219,891,Chrysler,Q50,2005,E8DCZY6U7BZ72JT5C
220,434,Audi,Commodore,1982,EFVKE383391NG3UUK
221,186,Tesla,D-Max,1991,L4139YVC2TW6JKYX3
222,321,Ferrari,Chiron,2022,ZLCERFW67R2CLT6BB
223,580,Geely,Enclave,2011,G5KPEFGE89F9734BP
224,115,Tata,Vue,1999,TCJH5FA09G43DZK8J
225,702,Opel,Regera,2008,GYZ4FN2E7YUDP5Z0V
226,821,Suzuki,D-Max,1981,9HV4F7TZ95UFWSH1Z
227,435,Tesla,Challenger,2001,441HPPU83WAY26YF6
228,471,Lotus,Huracán,1999,40U7Z1UV8LYKUZ9T4
229,501,Renault,Copen,1997,PPVFHT3S502VEHAZT
230,226,Dacia,Altima,1988,ADAUYM3E1YV3184GD
231,283,Volkswagen,Emgrand 7,2019,W0Z9UY1ZXY3GPSVJT
232,214,Bugatti,Huayra,1981,2MB4S9G77DR0FTTAF
233,732,HSV,D-Max,1995,MAT24AVB3DBMHP828
234,160,Mercedes-Benz,Enclave,2014,H9VM15TZX3WZ7XYF7
235,74,Pontiac,1500,1981,H9ZYGCXF0K2JAB6HX
236,499,Fiat,Phantom,2013,2K35TJ6D237JA9A69
237,585,Geely,ZS,2022,SYNEEHAN9JSRJ75P6
238,627,Jaguar,Barracuda,1999,ZYDV0EYP4J711SWP0
239,89,Ford,Ypsilon,2019,VKYYX5HT9FGN6BC50
240,365,McLaren,ForTwo,2005,7J8U57LV32PZLJTA9
241,215,Volkswagen,A4,2014,5HC1KAGR1MCYMWKE7
242,66,SsangYong,300,1978,WH3UENRY6LUKYUNP0
243,96,Lincoln,Commodore,2000,3TY60GWN55NJ7G9Z9
244,86,Cadillac,Vue,2012,P7EKGW41954A03YJZ
245,585,Saturn,9-3,2014,J7FKA6FEX4GKYWU97
246,421,Oldsmobile,Barracuda,1974,F9P9GUPD8H5LG8T3M
247,713,Fiat,Regera,2012,PK3DW1UY7NGUJMCAN
248,855,Pagani,720S,2014,EFYGRJLX6K8ZX5Y8U
249,232,Lancia,Mustang,2006,0EC5E5658N0U3BBZY
250,519,Scion,Phantom,2016,4ME8N7XW2HLML028F
251,203,Mini,Ibiza,2010,Z7MGZ2AE7630E0BZM
252,616,Land Rover,F-PACE,2012,T3U4G0756TDRNV3W7
253,565,Mazda,Qin,2004,2R0F4A9407UR8FH4Z
254,535,Jeep,XUV500,1993,WCFVKLEK6GPWZ77JV
255,92,Dacia,XUV500,1976,MWWJEZP00P8RL4GFW
256,416,Smart,500,1982,81HWAVHG81GEZHKXB
257,54,Maserati,Q50,2016,A9SDRK974RFV1328H
258,934,Holden,Civic,1993,XE79C6PZ85EJTW93L
259,759,Subaru,ZS,2021,212FV54431V5Y4FWA
260,966,SEAT,Astra,2008,0GD6S5WH188G9U7UF
261,436,Ram,1500,2009,0GVTPZAH58J3H2UDY
262,103,Cadillac,Astra,1977,3ZN7G6KW04PUVSEMD
263,139,Holden,Civic,2000,3H392ZVW4RZ5S3LRU
264,416,Chevrolet,Phantom,2004,HG8J4YN63UPWA5HNE
265,799,Daewoo,Nexon,1995,56MCUVC1XVESTC1EE
266,426,Citroën,1500,1983,GP03VP3V180ZH3AAU
267,275,MG,Rexton,2001,DF79TANV6W0FG7EAG
268,32,MG,ZS,2000,2CVJ2KF671UU2JKT5
269,179,Oldsmobile,Sierra,1988,R7A92HNC0S48H9ES2
270,979,Skoda,Octavia,1992,W0BBYC8W3URH4EBMF
271,977,Acura,Corolla,2023,WVV0N0TL5XJWFZ1VM
272,140,Ford,Range Rover,1974,2Y8VFKT82K8PNPRJW
273,294,Honda,208,1999,ZU1WB9FY9KV0H02TM
274,557,Honda,Q50,1996,SXAWFDSH1RMJAMBVZ
275,184,Scion,ZS,1981,SWWHZ15P0YZN4REVX
276,225,Porsche,H2,2012,H1CDLL7S2RGMNAZN8
277,612,GMC,Navigator,1987,YKDYFK7B0FJKPJTU5
278,794,Mahindra,208,1973,8TT7Z5VF2PRHMZ28W
279,353,Hummer,ES,2011,PC2ELXHK6Y10F93R4
280,577,BMW,Q50,1982,G8R69XP19KFJZVWAB
281,974,Porsche,Copen,1978,L1LFTDY22GAES0173
282,142,McLaren,3 Series,1989,0NJRBVD33BAHE8YUF
283,823,Mahindra,D-Max,2005,GWV4YL83526N4ABUH
284,673,Tesla,Emgrand 7,1981,NJ5SW4VX8ESTKR1YF
285,460,Mercedes-Benz,G70,1972,SWYXM6SA6Z0LYAR4N
286,861,Saab,Mazda3,1976,YCABMAYS3YTEMC3FN
287,397,Saturn,Elantra,1985,0VV0DY9B72793L3FY
288,981,Rolls-Royce,500,2023,MNCMXD0CX5D5UWAYK
289,800,Plymouth,Altima,1999,UM3MLXXCXD7HDAZHY
290,712,Ferrari,CS35,2020,26XMTFVY3X4JDF8AF
291,588,Daihatsu,Swift,2013,BRPWX0UB7SN18UVWP
292,923,Changan,Q50,1999,RP8X0AKP5C4DSFK1J
293,743,Land Rover,Challenger,1982,FKJF1D970AAP9UF97
294,585,Mini,Huracán,2001,2UX2VAVV4Z72Z1AAS
295,958,Pontiac,Lanos,1987,K55C714VXDUAFV7JV
296,317,Alfa Romeo,Chiron,2004,R86K45UV7G8K71N75
297,178,SsangYong,Clio,1994,VZK7GGXN1K5NUX37B
298,809,Jeep,Mustang,2023,FRGZ505316476AX8V
299,202,Daewoo,G70,2003,FZLZZ0B8619SVDYU9
300,804,Infiniti,Golf,1996,VXZKB9F45JF95JCT9
301,377,Maserati,Q50,1974,K2T7NRX7X1EV3X2H6
302,150,Hummer,1500,2010,SHTXNDA77M80CGS0J
303,564,Pagani,Civic,2021,2YLJ50U21MJ3W6E50
304,134,Bentley,Qin,1999,AR78EK2W7SEBB4YW3
305,559,Volvo,Elantra,2019,FNSNUUKT89JC75FHD
306,817,Lotus,C-Class,2002,90E6W95B4AADTK7ZK
307,823,Suzuki,Clio,1995,B5BP9NFW8G0BY3VKL
308,911,Mazda,Impreza,1984,1YZ4S4M954HT3CJ4M
309,713,Ferrari,Nexon,1970,745GBW5J8WEFVTUW8
310,410,Cadillac,Mazda3,1976,E6MW6M431EE4HD8JK
311,709,Cadillac,Phantom,2000,MC4R7BDFX073YVT4M
312,510,Geely,tC,1970,XT5M0DL419LTUPB4R
313,903,Suzuki,Cooper,1996,TCF7RTJE30MS47A9C
314,407,Porsche,Range Rover,1992,10KTKWFM5CU8EH5HS
315,429,Pagani,Elantra,2000,PBMEV6JM2DTT5GMRN
316,13,Nissan,720S,1983,JZPTD3PR82KEP379N
317,69,Genesis,Enclave,1976,J3JCRRDD6LAM48RFH
318,391,Volkswagen,Commodore,1990,YRPWK95MXYZWUL78E
319,934,BYD,Enclave,2008,Z2V2GRGS60PZXX760
320,494,Isuzu,Nexon,1970,FUA9FG329VD4PKZ0X
321,290,Great Wall,Mustang,1987,963R4FX392Z4HRCGH
322,126,Volvo,Astra,1977,5ZP9U2M30826Y52N4
323,416,Volkswagen,Firebird,1975,TJYLWMZY4SCP2X41S
324,134,Tesla,488 GTB,2020,MK513ZU103PAFN3VX
325,990,SEAT,Phantom,1972,0HZ9TTX73HAM0F9VH
326,750,Isuzu,Qin,1982,TJKJZE2G25NVHF6P2
327,350,Jeep,Lancer,2003,UAG730BG2XLLLRBHB
328,186,Buick,XC60,2013,UKRSXGK47U5CF08RD
329,29,Acura,Wrangler,1985,T2TTXE3E5YM0M6UZD
330,292,Aston Martin,720S,1997,A0SH28MJXVZLLV4CA
331,915,Bugatti,Ibiza,2010,U1GDKTT839YRHZA45
332,305,Lincoln,Continental GT,1990,TLCK7GGL5LF1GL97T
333,101,Buick,Golf,1976,RYF80J2L6RXA57MGG
